Date,Capital
2007-11-26,8912.515739757513
2007-11-27,8911.645840262063
2007-11-28,9787.786354105041
2007-11-29,10002.86777988599
2007-11-30,9881.330565854427
2007-12-03,9880.439480133617
2007-12-04,9681.178280583455
2007-12-05,10212.541479383886
2007-12-06,10625.643966256173
2007-12-07,10764.96480496604
2007-12-10,10892.945575408827
2007-12-11,10323.41457427678
2007-12-12,10203.903633775797
2007-12-13,10203.017598569202
2007-12-14,9943.673450579046
2007-12-17,9300.547931851776
2007-12-18,9175.673107173641
2007-12-19,9174.800291502776
2007-12-20,9739.696331588386
2007-12-21,10360.129903704883
2007-12-24,10596.561111493522
2007-12-26,10733.02476162656
2007-12-27,10401.036878079663
2007-12-28,10297.706625761393
2007-12-31,10296.816800365608
2008-01-02,9914.143979700964
2008-01-03,9914.143979700964
2008-01-04,9914.143979700964
2008-01-07,9914.143979700964
2008-01-08,9914.143979700964
2008-01-09,9914.143979700964
2008-01-10,9914.143979700964
2008-01-11,9914.143979700964
2008-01-14,9914.143979700964
2008-01-15,9914.143979700964
2008-01-16,9914.143979700964
2008-01-17,9914.143979700964
2008-01-18,9914.143979700964
2008-01-22,9914.143979700964
2008-01-23,9914.143979700964
2008-01-24,9914.143979700964
2008-01-25,9914.143979700964
2008-01-28,9914.143979700964
2008-01-29,9914.143979700964
2008-01-30,9914.143979700964
2008-01-31,9914.143979700964
2008-02-01,9914.143979700964
2008-02-04,9914.143979700964
2008-02-05,9914.143979700964
2008-02-06,9914.143979700964
2008-02-07,9914.143979700964
2008-02-08,9914.143979700964
2008-02-11,9914.143979700964
2008-02-12,9914.143979700964
2008-02-13,9914.143979700964
2008-02-14,9914.143979700964
2008-02-15,9914.143979700964
2008-02-19,9914.143979700964
2008-02-20,9914.143979700964
2008-02-21,9914.143979700964
2008-02-22,9914.143979700964
2008-02-25,9914.143979700964
2008-02-26,9914.143979700964
2008-02-27,9914.143979700964
2008-02-28,9914.143979700964
2008-02-29,9914.143979700964
2008-03-03,9914.143979700964
2008-03-04,9914.143979700964
2008-03-05,9914.143979700964
2008-03-06,9914.143979700964
2008-03-07,9914.143979700964
2008-03-10,9914.143979700964
2008-03-11,9914.143979700964
2008-03-12,9914.143979700964
2008-03-13,9914.143979700964
2008-03-14,9914.143979700964
