,Ratio,Stop,CAGR,StDev,DrawDown,Sharpe,MaR,SM
251,0.895,3.7,19.318505,0.178124934,-21.19385868,108.4548052,0.911514288,98.85810453
252,0.98,2.1,28.21065524,0.259848141,-31.0663423,108.5659307,0.908077783,98.58630966
253,0.975,3.9,29.76870737,0.255301365,-35.28561335,116.6022258,0.843649991,98.37146666
254,0.945,2.1,24.56305315,0.228472915,-26.85956795,107.5096939,0.914499191,98.31752802
255,0.925,1.1,18.55558185,0.195631719,-17.92787696,94.84955676,1.035012785,98.17050386
256,0.98,2.3,28.2376262,0.259796479,-31.27038793,108.6913351,0.903014899,98.149895
257,0.94,1.5,22.83187578,0.217632164,-24.48457784,104.9103928,0.932500284,97.82897103
258,1.01,3.9,29.53669131,0.27264187,-32.75248524,108.335126,0.90181527,97.69827085
259,0.915,2.5,21.77218489,0.206334857,-23.55913632,105.518695,0.924150385,97.51514261
260,0.985,3.9,27.08926648,0.260822802,-28.854449,103.8608062,0.938824598,97.50707968
261,0.98,1.7,27.48972519,0.25659698,-30.4941054,107.1319126,0.90147669,96.5769219
262,0.89,4.5,19.74801763,0.172187511,-23.48207558,114.6890241,0.840982628,96.45147683
263,0.945,2.5,24.83636505,0.230098802,-27.81664845,107.9378285,0.892859724,96.37333971
264,0.895,3.9,19.16003598,0.177885159,-21.46847763,107.7101433,0.892472969,96.12839138
265,0.95,3.9,27.03659687,0.233654078,-32.54483218,115.7120692,0.83074931,96.12772166
266,0.925,2.3,21.19000157,0.213569731,-21.87163854,99.21818725,0.968834664,96.12601908
267,0.945,2.3,24.54627016,0.22948366,-27.33888828,106.9630409,0.897851804,96.03695925
268,0.89,4.7,19.69306036,0.172183081,-23.48207558,114.3727958,0.838642236,95.91785712
269,1.015,4.7,30.30081669,0.272421082,-35.16638997,111.2278699,0.861641377,95.83853503
270,0.955,3.5,26.71745701,0.238301327,-31.26381234,112.1162745,0.854580904,95.81242722
271,0.89,4.9,19.67281392,0.172205603,-23.48207558,114.2402664,0.837780027,95.70821353
272,1.015,4.9,30.27878219,0.27241803,-35.16638997,111.1482311,0.861014799,95.70027189
273,0.995,4.5,29.0392643,0.264152327,-33.36129779,109.9337819,0.870447681,95.69160552
274,0.905,1.5,19.33062159,0.18614678,-20.98038741,103.8461242,0.921366284,95.68031761
275,0.945,1.1,23.1982193,0.208377058,-27.00590987,111.3280872,0.859005285,95.63141526
276,1,2.7,28.75509167,0.272242341,-31.80568701,105.6231428,0.904086482,95.49245558
277,0.955,0.1,12.56529448,0.119775556,-13.80666868,104.9070017,0.910088796,95.47468686
278,0.965,3.9,28.14135296,0.242082401,-34.29187964,116.2470002,0.820641891,95.39715812
279,0.955,3.7,26.6638407,0.238480598,-31.26381234,111.8071698,0.85286594,95.35652698
280,1,1.1,25.28409536,0.246974604,-27.20969277,102.3752845,0.929231196,95.13030806
281,0.92,2.9,21.16432693,0.210933634,-22.32398909,100.3364257,0.948053094,95.12425883
282,0.955,3.1,26.54913352,0.238106407,-31.26381234,111.5011304,0.849196932,94.6864179
283,0.98,0.9,24.4073524,0.226744474,-27.78310263,107.6425459,0.878496283,94.56357647
284,0.93,0.7,18.48551867,0.177009394,-20.56459684,104.4324163,0.898900125,93.87431203
285,0.99,4.7,28.60225717,0.261193412,-33.6747827,109.5060438,0.849367238,93.01084598
286,0.99,4.9,28.5805099,0.261190187,-33.6747827,109.4241336,0.848721435,92.87060774
287,1.005,1.7,26.95919093,0.271328853,-28.84310355,99.35983815,0.934684122,92.87006311
288,0.975,3.5,28.97843778,0.256968654,-35.28561335,112.7703219,0.821253622,92.61303534
289,0.925,1.7,20.59428341,0.209395708,-21.87341048,98.35102924,0.94152137,92.5995958
290,0.955,2.7,26.80186416,0.237720324,-32.6350852,112.7453628,0.821259206,92.59316715
291,0.975,3.7,28.92386481,0.25713504,-35.28561335,112.4851162,0.819707015,92.20483888
292,0.92,0.9,17.85874708,0.184913246,-18.74262498,96.57905802,0.952841296,92.02451479
293,1.01,3.5,28.74783472,0.274203967,-32.75248524,104.8410608,0.877729873,92.02213101
294,0.975,3.1,28.80737547,0.256679081,-35.28561335,112.2310994,0.816405689,91.626108
295,1.01,3.7,28.69335933,0.274359916,-32.75248524,104.5829135,0.876066629,91.62160047
